,broker_matching_name,choice,gpt,brokername
254,EITYSIX,0,True,
255,EKNSECUR,627,True,EKN Financial Services Inc.
256,ELEVATE,0,True,
257,ELEVEN,3,False,Citigroup Inc
258,ELIXIR,159,False,NWM Strategy
259,EMASSMGT,2615,False,Opus Group Financial
260,EMERALD,629,True,Emerald Research
261,EMERGRO,17,True,"Emerging Growth Equities, Ltd."
262,ENAM,0,True,
263,ENGLANDE,0,True,
264,ENSKILSS,260,False,SEB
265,EOFFER,616,True,E*TRADE Financial Corporation
266,EQUISIGH,3715,False,Equisights
267,EQUITSEC,1322,True,SunTrust Equitable Securities
268,EQUITYN,0,True,
269,ERARES,2142,False,ERA Forest Products Research
270,ERSTEBER,659,True,First Berlin Equity Research GmbH
271,ESUN,0,True,
272,EUROMEUR,644,False,Equita SIM S.p.A.
273,EUROMOB,644,False,Equita SIM S.p.A.
274,EUROPAC,0,True,
275,EURPACAP,2282,False,Alliance Global Partners
276,EVALUATE,3294,True,Evaluate Research Limited
277,EVANSPA,0,True,
278,EVERCO,2554,True,Evercore ISI
279,EVLI,306,True,Evli Bank plc
280,EVO,646,True,Evolution Securities Asia
281,EXANE,230,False,BNP Paribas Exane
282,EXECUTE,370,False,Haitong Bank S.A.
283,FAB,640,False,Erste Group Bank AG
284,FAHN,567,True,CIBC Capital Markets
285,FAI,0,True,
286,FARMHOUS,263,True,Farmhouse Equity Research
287,FBNSEC,650,True,"FBN Securities, Inc."
288,FBOSTON,4,False,Credit Suisse
289,FCOL,1080,True,vFinance Investments Inc.
290,FEARNLEY,288,False,Fearnley Securities
291,FECHTOR,7,False,Goldman Sachs
292,FELTL,18,True,"Feltl and Company, Inc."
293,FENERGY,287,True,FirstEnergy Capital Corp.
294,FGS,200,False,First Global Stockbroking (P) Ltd.
295,FIG,19,True,FIG Partners
296,FIMSECS,654,True,FIM Investment Research
297,FINNCAP,770,True,Cavendish 
298,FINRUS,0,True,
299,FINTRUST,3087,True,"FinTrust Capital Advisors, LLC"
300,FIRSANAL,658,False,First Analysis Securities Corporation
301,FIRSOUTH,833,False,Macquarie Research
302,FIRSTALB,54,False,"Gleacher & Company, Inc."
303,FIRSTASA,323,True,Swedbank Norway
304,FIRSTINV,135,False,Stonecap Securities Inc.
305,FONDSFIN,289,False,Beringer Finance AB
306,FORESITE,373,True,"Foresight Research Solutions, LLC"
307,FORTNED,1856,True,ABN AMRO Bank N.V.
308,FORTSEC,667,False,BNP Paribas Fortis
309,FORUNTEC,668,True,"Forun Technologies, Inc."
310,FORWARD,3167,True,"Forward View Consulting, LLC"
311,FOSENSEC,704,True,"Guosen Securities Co., Ltd."
312,FOUNDER,669,True,"Founder Securities Co., Ltd."
313,FOURTEEN,670,False,Fourteen Research Corp.
314,FOXDCAP,0,True,
315,FOXPITT,331,True,Fox-Pitt Kelton Cochran Caronia Waller
316,FOYILSEC,671,True,Foyil Securities
317,FPRESSPR,0,True,
318,FRASERMC,23,True,Fraser Mackenzie Limited
319,FRCLAYSC,9,True,Barclays
320,FRIEDMAN,24,True,FBR Capital Markets & Co.
321,FROSTSEC,675,False,"Frost Securities, Inc."
322,FSIGHT,1808,False,MA Moelis Australia Securities Pty Ltd
323,FTENN,25,True,FTN Midwest Securities Corp.
324,FUBON,676,True,Fubon Securities
325,FULGLO,26,True,Fulcrum Global Partners LLC
326,FUNDARES,427,False,Fundamental Research Corp.
327,FURMAN,324,True,ING Groep NV
328,FXIASECU,605,True,Dexia Bank Belgium
329,FZENOVEC,264,True,JPMorgan Cazenove Limited
330,GABELLCO,1203,False,"G. Research, LLC"
331,GARANTIA,4,False,Credit Suisse
332,GARGIULO,908,False,Oscar Gruss and Son Inc.
333,GARP,78,False,GARP Research & Securities Co.
334,GARTNER,1299,False,Schwab Soundview Capital Markets
335,GAZ,2582,True,Gazprombank (Joint Stock Company)
336,GBM,1207,True,"GBM Grupo Bursátil Mexicano, S.A. de C.V. Casa de Bolsa"
337,GDUPONT,685,False,Gilbert Dupont
338,GENESIS,1542,False,JWGenesis Financial Corp.
339,GENOSSEN,964,True,Raiffeisen Bank International AG - Institutional Equity
340,GENUITYC,79,True,Genuity Capital Markets
341,GERARD,2790,False,AlphaValue
342,GFSEC,684,True,GF Securities Co. Ltd.
343,GHUNTER,376,False,Seaport Research Partners
344,GILFORD,80,False,Gilford Securities
345,GKM,210,True,BMO Capital Markets U.S. (Historical)
346,GLOBALNA,3742,False,Trickle Research
347,GLOCROWN,686,True,GC Research Ltd
348,GLOVALUE,3381,True,Global Value Research Company
349,GOEPEL,308,False,Raymond James Ltd.
350,GOETZ,3265,True,goetzpartners securities Limited
351,GOLDIS,935,False,"Pittsburg Research, Inc."
352,GOLDMAN,7,False,Goldman Sachs
353,GOLDSMIT,1523,False,Goldsmith & Harris Incorporated
354,GOODBODY,146,True,Goodbody Stockbrokers
355,GRANDATI,0,True,
356,GRANFINA,81,True,Granite Financial Group
357,GRANIT,81,True,Granite Financial Group
358,GREAST,698,False,Great Eastern Securities
359,GREATLKE,42,True,"Soleil Securities Group, Inc."
360,GREENGLO,700,True,"Greenwich Global, LLC"
361,GRIFFIN,83,True,Griffin Securities
362,GRIFFMCB,197,False,Stifel Canada
363,GRUNTAL,701,False,Gruntal & Co
364,GS2,486,False,B C Ziegler & Co
365,GSHENG,0,True,
366,GTJA,2300,True,Guotai Junan Securities
367,GUGGEL,2538,False,"Guggenheim Securities, LLC"
368,GUOJUN,705,True,Guotai Junan International Holdings Limited
369,GUOSEN,2910,True,Guosen Securities(HK) Financial Holdings Company
370,GUZMAN,84,False,Guzman & Company
371,HAGSTRM,727,True,HQ Bankaktiebolag
372,HAITONG,2302,True,Haitong International Research Limited
373,HALLUM,46,False,ThinkEquity LLC
374,HALPERN,27,False,Halpern Capital
375,HALYKFIN,2692,False,JSC Halyk Finance
376,HAMMERPA,264,False,JPMorgan Cazenove Limited
377,HAMQUIST,764,True,J.P. Morgan H&Q
378,HANAUER,761,True,J.B. Hanauer & Co.
379,HANIFEN,124,False,Stifel
380,HANWEST,0,True,
381,HANWHA,714,True,"Hanwha Investment & Securities Co., Ltd."
382,HAPSEC,0,True,
383,HARPOYAA,718,True,Euroz Hartleys Securities Limited
384,HARRISNC,322,False,Wellington West Capital Markets Inc.
385,HASKETT,3022,True,Gordon Haskett Research Advisors
386,HASPA,709,True,Hamburger Sparkasse AG
387,HAYWOOD,28,False,Haywood Securities Inc.
388,HCWAIN,85,False,H.C. Wainwright & Co.
389,HDBROUS,380,False,"HD Brous & Co., Inc."
390,HELLENIC,0,True,
391,HERMANN,506,True,Bankhaus Lampe KG
392,HILLIARD,762,False,Hilliard Lyons
393,HISPANO,2295,True,Banco Santander
394,HMGLOBAL,3020,True,HM Global Capital LLC
395,HOAK,723,False,"Hoak, Breedlove, Wesneski & Co."
396,HOEFER,1109,False,"Howe Barnes Hoefer & Arnett, Inc."
397,HONOLULU,662,False,"First Honolulu Securities, Inc."
398,HOTOVEC,382,True,Hotovec Pomeranz & Co. Inc.
399,HOVDE,3178,True,"Hovde Group, LLC"
400,HOWARD,725,False,Scotia Howard Weil
401,HOWEBARN,1109,True,"Howe Barnes Hoefer & Arnett, Inc."
402,HUAFIN,2774,True,Huatai Financial Holdings (Hong Kong) Limited
403,HUDSON,554,False,Inteligo SAB
404,HUDSONSQ,42,True,"Soleil Securities Group, Inc."
405,HYPOTH,3274,False,Hypothesis Research Ltd
406,HYUNDAI,0,True,
407,IBERIA,2763,False,Iberia Capital Partners
408,IBI,217,False,Israel Brokerage & Investments I.B.I. Ltd.
409,ICBCINT,2618,True,ICBC International Research
410,IHSEC,3343,False,Tellimer Research
411,IIIR,252,False,Independent International Investment Research
412,IISPL,2328,True,Ismail Iqbal Securities (Pvt.) Ltd.
413,IMPERCAP,88,False,Imperial Capital
414,IMTRUST,1654,False,CrediCorp Capital
415,INDALSEC,2500,False,iA Capital Markets
416,INDERES,2476,False,Inderes Oy
417,INDUS,3138,True,Industrial Securities (HK) Financial Holdings
418,INFINIUM,746,True,"Infinium Securities, Inc."
419,ING,324,True,ING Groep NV
420,INGALLS,388,True,Ingalls & Snyder LLC
421,INHENCRO,389,True,Investec Bank plc (UK)
422,INRES,741,False,"Independent Research Group, LLC"
423,INSTINET,182,False,Nomura Securities Co. Ltd.
424,INTERAC,748,False,Interacciones Casa De Bolsa De Cv
425,INTERAT,0,True,
426,INTERFIP,554,True,Inteligo SAB
427,INTMONTE,751,True,Intermonte SIM S.p.A.
428,INVERBRO,0,True,
429,INVESKS,389,True,Investec Bank plc (UK)
430,INVSECUR,2817,False,Invest Securities
431,IPOPEMA,2854,True,Ipopema Securities S.A.
432,ISIGROUP,1971,True,ISI Group Inc.
433,ITAU,758,False,Itau BBA
434,ITREND,0,True,
435,JACKSON,765,True,"Jackson Securities, LLC"
436,JANCO,205,False,"Janco Partners, Inc."
437,JANNEY,89,False,Janney Montgomery Scott LLC
438,JAVELIN,674,False,Friend & Company
439,JBEF,2957,True,Kepler Cheuvreux
440,JCAPITAL,220,True,Jennings Capital Inc.
441,JCBSEC,2384,True,Jacob Securities Inc.
442,JEDAVY,189,False,Davy
443,JEFFEREG,90,False,Jefferies LLC
444,JENNCAP,220,False,Jennings Capital Inc.
445,JESUPLAM,91,False,Jesup & Lamont Securities Corporation
446,JGCAP,0,True,
447,JGIORDAN,91,m,Jesup & Lamont Securities Corporation
448,JLEMON,774,False,"Johnston, Lemon & Co. Incorporated"
449,JLROSS,1233,False,"Josephthal & Co., Inc."
450,JMDUTTON,768,False,"Dutton Associates, LLC"
451,JMPSEC,1370,m,Wunderlich Securities
452,JOGUNNAR,390,True,"Joseph Gunnar & Co., LLC"
453,JOHNRICE,773,False,"Johnson Rice & Company, L.L.C."
454,JOHNSON,178,False,Wachovia Securities
455,JOLSON,92,False,JMP Securities
456,JONESTAD,3214,True,"JonesTrading Institutional Services, LLC"
457,JPINVEST,2302,False,Haitong International Research Limited
458,JPMORGAN,8,False,J.P. Morgan
459,JSA,779,True,JSA Research Inc.
460,JYSKE,780,False,Jyske Bank A/S
461,KALLIWOD,613,True,Dr. Kalliwoda Research
462,KANSAS,1235,True,Kansas City Capital Associates
463,KAUFBRO,29,False,"Kaufman Bros., L.P."
464,KAUPBANK,784,False,Singer Capital Markets
465,KBCCEE,788,True,KBC Securities- CEE Research
466,KDBANKA,2385,False,KD Banka d.d.
467,KEARNS,149,False,"Paradigm Capital, Inc."
468,KEEFE,94,False,"Keefe, Bruyette, & Woods"
469,KEEFELTD,94,True,"Keefe, Bruyette, & Woods"
470,KEMPEN,292,True,Kempen & Co. NV
471,KENNY,792,True,Kenny Securities Corp.
472,KGIFR,0,True,
473,KGIFT,796,True,KGI Securities Co. Ltd.
474,KIMC,798,m,Kim & Company LLC
475,KIMENG,799,m,Maybank Research
476,KINNARD,148,True,Miller Johnson Steichen Kinnard
477,KINTISHE,169,True,Kintisheff Research
478,KIRKPETT,800,False,"Kirkpatrick, Pettis, Smith, Polian Inc."
479,KITFIN,0,True,
480,KLEINEUR,6,False,Dresdner Kleinwort
481,KLRGRP,2879,True,"KLR Group Holdings, LLC"
482,KOMERC,802,False,Komercni Banka AS
483,KREDIET,787,False,KBC Securities NV
484,KUEHN,861,True,"Miller, Johnson & Kuehn Inc."
485,LADENBRG,38,False,Ladenburg Thalmann & Company
486,LADENBUR,38,False,Ladenburg Thalmann & Company
487,LAFFER,3033,False,"R.F. Lafferty & Co., Inc"
488,LAIDCOM,3027,True,Laidlaw & Company (UK) Ltd
489,LAKES,2952,True,"Lake Street Capital Markets, LLC"
490,LANGEN,810,True,Langen McAlenney
491,LANGENBE,393,True,"Langenberg & Company, LLC"
492,LARRAIN,1242,False,LarrainVial S.A.
493,LASALLE,394,False,"Lasalle Street Securities, LLC"
494,LATINVES,349,False,BBVA Corporate and Investment Bank
495,LAURENTI,198,True,"Laurentian Bank Securities, Inc."
496,LAWRENCE,5,False,Deutsche Bank
497,LAZARD,812,False,Lazard Capital Markets
498,LBBW,392,False,Landesbank Baden-Wuerttemberg Equity and Fixed Income Research
499,LCMMP,3169,False,TPICAP Midcap
500,LEADERCO,813,False,Leader Capital Markets Ltd
501,LEEDE,1117,False,Leede Financial Markets Inc.
502,LEERINK,96,False,Leerink Partners LLC
503,LEGG,97,True,"Legg Mason Wood Walker, Inc."
504,LEHMAN,1393,True,Lehman Brothers Holdings Inc.
505,LEVESQUE,221,False,National Bank Financial
506,LHFRIEND,674,m,Friend & Company
507,LIBECAP,2422,True,Panmure Liberum
508,LIFSCICA,3440,False,"LifeSci Capital, LLC"
509,LOEWEN,826,False,Loewen Ondaatje McCutcheon Limited
510,LOEWENB,0,True,
511,LOMBARD,828,True,Lombard Odier Darier Hentsch & Cie Corporate
512,LONGBOW,269,False,Longbow Research LLC
513,LOOPCAMA,98,False,Loop Capital Markets
514,LOOPCAP,98,True,Loop Capital Markets
515,LUCKY,1094,m,NH Investment & Securities Co. Ltd.
516,MABON,150,False,"Rodman & Renshaw, LLC"
517,MACNAB,4,False,Credit Suisse
518,MACQUARI,833,False,Macquarie Research
519,MAINFRST,124,m,Stifel
520,MAISON,1988,True,Maison Placements Canada Inc.
521,MANAGESO,835,False,"ManageSource Research, Inc."
522,MAXCOR,99,True,Maxcor Financial Inc.
523,MAXIM,147,False,Maxim Group
524,MCADAMS,101,False,McAdams Wright Ragen
525,MCALPINE,845,True,McAlpine Associates LLC
526,MCBD,846,False,"McConnell, Budd & Romano, Inc"
527,MCCARTHY,1325,m,TD Securities
528,MCDONALD,31,False,KeyBanc Capital Markets Inc.
529,MCFAR,1257,True,MGI Securities Inc.
530,MCGINN,0,True,
531,MCLEAN,5,True,Deutsche Bank
532,MCLEOD,120,False,Scotiabank Global Banking and Market
533,MCMPART,3206,True,MCM Partners
534,MCNICOLL,2447,False,MLV & Co LLC
535,MDB,102,True,MDB Capital Group LLC
536,MDMBANK,847,True,MDM Research
537,MELIUS,3401,True,Melius Research LLC
538,MERCHANT,754,False,Investec Bank Limited (SA)
539,MERCPART,852,True,Mercury Partners LLC
540,MERLIN,0,True,
541,MERRILL,10,False,BofA Global Research
542,MERRINTL,10,False,BofA Global Research
543,MERRION,191,False,Merrion Stockbrokers Ltd.
544,METZLER,855,True,Metzler Equities
545,MFGLOBAL,1667,False,MF Global UK Limited
546,MFGLOHK,352,False,BNP Paribas Securities (Asia)
547,MGASFC,5,True,Deutsche Bank
548,MGASFH,0,True,
549,MIDEST,25,False,FTN Midwest Securities Corp.
550,MIDPAR,2988,True,Midtown Partners & Co
551,MILLERTA,285,False,"Miller Tabak & Co., LLC"
552,MILLMAN,1259,True,Millman Research Associates
553,MIRAE,863,False,"Mirae Asset Securities Co., Ltd. (Pre-Merger)"
554,MITCH,12,False,UBS Investment Bank
555,MIZUSEC,2557,False,Mizuho Securities USA LLC
556,MJSK,148,False,Miller Johnson Steichen Kinnard
557,MKEEGAN,105,False,Morgan Keegan & Company
558,MKMPARTN,400,True,MKM Partners LLC
559,MLGA,33,False,Morgan Joseph TriArtisan LLC
560,MMWAR,867,False,Warburg Research GmbH
561,MOFFETT,0,True,
562,MONALLC,30,True,Kevin Dann & Partners
563,MONNESS,0,True,
564,MONTAUK,869,True,Montauk Capital Markets Group
565,MONTCO,870,False,"Montgomery & Co., LLC"
566,MONTSEC,2,False,Banc of America Securities
567,MORGAN,11,False,Morgan Stanley
568,MORGNADR,11,False,Morgan Stanley
569,MORITZ,754,False,Investec Bank Limited (SA)
570,MPARTNER,270,False,M Partners Inc.
571,MRNGSTAR,2494,False,Morningstar Inc.
572,MSHOWELL,830,True,"M.S. Howells & Co., Inc."
